,AHI1,AKAP7,ALDH8A1,ARG1,BCLAF1,CAMK1D,CCDC28A,CDK4,CDKN2A,CDKN2B,CHAT,CITED2,COL6A2,CPM,CPT1B,CSTF2T,CTGF,CYP27B1,DKK1,DSE,DST,ECHDC1,EGFR,ENPP1,EPB41L2,EPHA7,EPM2A,EYA4,FABP7,GJA1,GPR126,GRM1,HBS1L,HDDC2,HEBP2,HECA,HEY2,HIVEP2,HSF2,IFNGR1,IL20RA,KIAA0408,KPNA5,LAMA2,MAN1A1,MAP3K5,MAP7,MDM2,MDM4,MED23,MET,MOXD1,MTAP,MYB,NF1,NMBR,NUS1,PACRG,PDE7B,PDGFRA,PERP,PEX3,PEX7,PFKP,PHACTR2,PIK3C2B,PIK3CA,PIK3R1,PLAGL1,PLN,PRKG1,PTEN,PTPRK,QKI,RAB32,RB1,RNF146,ROS1,RSU1,RWDD1,SERINC1,SF3B5,SLC18A3,SMPDL3A,STX11,TAAR2,TAAR5,TBPL1,TCF12,TCF21,TNFAIP3,TP53,TPD52L1,TRMT11,TSPAN31,UTRN,VNN1,VNN2,VNN3
TCGA-02-0003,-0.21177,0.15198,-0.41481,-0.1117,-0.07422,0.41632,-0.44091,2.42133,2.79241,1.4975,-0.0409,0.46604,-1.05531,0.98857,-0.14397,0.24779,0.12442,2.09951,-1.10882,-1.285,-0.51323,-0.01698,2.62348,-0.47542,-0.30197,0.7186,-0.04476,0.53311,1.464,0.10236,-0.48783,0.29923,-0.32115,-0.71083,-0.59419,0.11192,-0.31668,-0.3283,0.28783,0.01952,-0.44154,0.33124,0.21707,-1.06663,-0.22219,-0.38316,0.16033,-0.47832,-0.25454,-0.25002,-0.83919,-1.37965,0.89421,0.39224,0.06167,-0.33587,-0.27789,-0.34303,-0.04017,1.02505,0.14442,-0.23917,-0.23541,0.01472,-0.62213,0.18618,0.34964,0.66751,-0.72069,-0.32999,0.04345,0.11006,0.19485,0.08153,-0.45306,0.18399,-0.09055,0.32159,-0.07287,-0.52305,-0.13381,-0.37549,-0.06496,-0.3753,-0.55075,-0.36808,-0.17405,0.27074,0.20282,-0.28608,-1.17375,0.0203,0.50786,0.17871,3.21849,-0.57285,0.1203,-0.7296,-0.19941
TCGA-02-0007,0.55142,-0.46878,-0.49796,-0.0541,0.03614,0.23658,0.38305,0.16023,0.08428,0.53421,0.14845,-0.17239,0.75323,-1.71986,0.01853,0.13241,-1.29189,-0.58848,0.58903,-0.54183,-0.55881,-0.90992,-0.11339,0.05026,-0.80977,1.01151,-0.32169,0.567,-4.4476,-0.63921,-0.48643,0.40271,-0.69796,-0.49232,0.06786,-0.39664,-0.08082,-0.42132,-0.18354,-1.65687,0.49695,-0.00508,-0.28644,0.03666,-0.39304,-0.5503,0.15481,-0.82215,4.44968,-0.09246,-0.28321,-1.08872,0.40439,0.35678,0.02647,-0.18799,-0.46484,0.94028,-0.16273,-1.03489,-0.56439,-0.32399,-0.45432,0.63066,-0.09447,0.72253,-0.34637,-0.09388,0.15883,-0.56762,-0.08507,-0.11671,-0.02873,-1.87753,0.15319,-1.38868,-0.64206,0.32131,-0.21686,-0.62587,-0.7971,-0.87528,-0.16375,-1.33722,-0.7227,-0.07161,-0.01002,-0.89983,-0.72732,-0.58935,-1.00537,0.30966,0.23094,-0.69603,-0.26338,-0.41467,-0.55002,-0.97885,-0.45645
TCGA-02-0014,-0.69925,-0.02705,-0.36715,-0.31803,-1.03658,0.7549,-1.13833,0.66996,-1.4978,-1.01544,-0.22844,-0.12582,-1.04407,1.24251,0.04914,1.5866,-0.70043,-0.15894,-1.32557,-1.42853,0.06209,-0.92399,-1.98289,-0.83118,-0.48508,1.69583,-0.33391,-1.51506,-4.48061,-2.35072,-0.41602,-0.40873,0.06331,-0.47734,-0.75425,-0.63596,-1.22206,-1.95782,0.62628,-1.38976,-0.55835,0.71732,0.26409,-1.35756,-0.92625,-1.77248,-1.15977,-0.03655,0.64851,-0.07829,0.30805,-2.65734,-1.28903,1.19458,0.52394,0.02255,-0.16404,-1.64951,-0.70084,2.58311,-0.84409,-1.29686,-0.63041,0.29766,-1.23858,2.20313,0.4037,0.60327,-0.6874,-0.69243,-0.14519,0.42042,-0.42987,0.23384,-1.99115,0.24109,-0.20374,-0.08922,0.43654,-0.43972,-1.09154,-0.59393,-0.22088,-1.76637,-0.38147,-0.12673,-0.0839,0.51086,1.58166,-0.27084,-1.66387,-1.2367,-0.70514,-0.53754,-0.95835,-1.6708,-0.22015,-0.56984,-0.41087
TCGA-02-0015,0.16293,-0.04226,-0.0319,-0.19161,0.36408,-0.26141,-0.58035,-0.02391,-1.27741,-0.71515,0.17096,-0.34359,0.87534,-0.62762,-0.55346,0.14739,-0.54344,-0.17658,1.37674,-0.16699,-0.61784,0.27045,-1.31638,0.02374,-0.37764,-0.43433,-0.69308,0.79337,1.39777,-0.31351,0.09016,-0.41684,0.39982,0.34483,0.64095,-0.83992,0.29483,-0.4204,0.6602,-0.08397,-0.40055,0.60422,0.0675,0.02022,0.1929,-1.46388,-0.22056,-0.4176,-0.41724,0.01849,0.25265,1.08926,-0.81695,0.01833,-0.68167,-0.04962,0.43004,-1.32479,0.31357,-0.44729,0.56976,-0.7917,0.19496,0.89739,-0.50047,-0.26343,0.28202,-0.38843,-0.68706,0.03205,-0.24723,-0.3787,-0.74274,-0.37844,0.07297,0.58359,0.25228,0.45858,0.92956,0.29036,-0.03957,-0.53678,0.74698,0.39842,0.06312,0.32265,-0.18733,0.22921,0.43641,-0.04326,0.17004,0.77175,-0.07583,-0.06988,-0.75247,-0.01634,-0.04916,-0.65689,-0.01347
TCGA-02-0016,0.42836,0.38307,0.39586,0.80466,0.4512,0.57205,-0.07838,-0.89863,-1.12335,-0.77558,-0.17282,-0.15464,-1.06358,-0.0875,0.08453,-0.26505,0.81887,-0.34105,-1.34634,-0.88203,0.07611,0.42543,3.21145,0.13534,0.35356,-0.2956,0.80832,2.19686,0.64957,1.14434,-0.16335,-0.15261,0.17836,-0.21389,-0.5181,0.17157,0.50257,1.0422,0.09105,0.24911,-0.11599,-0.28006,0.35004,1.20821,-0.12112,-0.98295,-0.54641,-0.55576,-0.13219,1.06225,-0.46546,-0.91779,-0.50788,-0.51757,0.4293,-0.17572,0.01421,0.80373,0.94568,-1.15943,-0.29278,0.54253,0.24156,0.38276,0.23948,0.0595,0.19135,0.83524,-0.44341,-0.68369,-0.21664,-0.05157,-0.49641,0.18857,-0.28334,0.12933,0.54819,0.28446,-0.62278,0.29648,0.50663,-0.29794,-0.06693,-0.24868,-0.25022,0.16384,0.01205,-0.53166,0.2087,-0.26029,-0.16272,-0.1001,0.33298,0.61808,-0.39089,1.11021,-0.15264,-0.54833,-0.1454
TCGA-02-0023,-0.15849,0.10065,0.07311,-0.05905,-0.20936,0.21765,-0.02894,-0.74976,-1.18372,-0.82929,0.08911,-0.31317,-0.41662,-0.70775,0.20413,-0.48991,-0.49122,-0.34061,-1.29512,-0.52993,-0.04895,-0.88803,2.62653,-0.77474,-0.52847,-0.17407,-0.24924,0.26093,1.10859,0.75009,0.11935,0.62574,-0.5509,-0.68362,-0.63311,-0.27187,-0.2061,-0.04824,-1.03344,-0.51131,0.17771,-0.66474,-0.53102,1.08434,-0.41328,-0.23976,0.34328,-0.60793,-0.41308,-1.00661,-0.52576,0.48488,-0.84713,-0.37691,0.02594,-0.43752,-0.6878,0.18231,-0.04803,-1.84521,0.08598,-0.86354,-0.38952,0.51574,-0.15099,-0.5214,0.19926,0.51036,-0.37661,0.11979,-0.12093,-0.29148,-0.47208,-0.51957,-0.37199,-0.03337,-0.57242,0.12464,-0.74134,-0.68445,-0.01208,-0.64683,0.02029,-0.48103,-0.15419,-0.18041,0.12408,-0.92932,0.09146,-0.0771,-0.08373,-0.53389,0.38059,-0.49733,-0.80202,-0.34188,-0.19174,-0.33857,-0.19198
TCGA-02-0025,-0.23173,-0.60648,-0.1967,-0.25465,-0.5175,0.44598,0.14414,-0.94773,2.07362,0.58671,0.26438,0.6573,1.60516,0.6131,0.50418,-0.03876,1.07597,-0.45101,1.89163,1.43871,-0.1282,-0.24013,-1.52381,0.3722,-0.53812,-0.30448,-0.43995,0.19423,-4.63829,-1.18571,0.31602,-0.31181,-0.38082,-0.59855,0.66458,0.56144,-1.3861,0.30618,-0.45626,0.04337,-0.22401,-0.98814,-0.6788,-0.87131,0.82251,0.83378,-0.45668,-0.43402,-0.57582,-0.32976,1.35204,0.9942,1.26348,-0.1522,-0.38921,-0.13204,-0.42913,-2.34866,-0.86408,0.09389,-0.45372,-0.57698,-0.44909,-0.00976,0.65801,-0.92752,-0.01293,-0.92898,0.42564,0.10867,0.16015,0.52303,-0.05989,-1.33317,0.43736,-0.03918,-0.32058,0.23977,0.42098,-0.03317,-0.72599,-0.34362,0.20484,-0.06144,0.73482,0.20651,0.10824,-0.50204,-1.33794,0.24276,0.96241,-0.36598,1.5368,-0.30489,-1.33939,0.70979,1.42159,0.45544,0.2259
TCGA-02-0026,0.54114,-0.37041,0.42688,-0.23819,0.87124,0.8368,-0.75777,-0.3828,2.33196,1.31749,0.04973,-0.39989,-0.43973,-0.30631,0.25737,0.77426,-0.60646,-0.49413,-0.54599,-0.66865,0.58968,-0.33929,-0.87776,-0.60023,0.04553,0.71445,-0.3684,-1.2175,-3.0875,-0.7359,-0.03998,-0.53685,0.60106,-0.96193,-1.01788,0.33963,0.13874,0.08238,1.35223,-0.46863,-0.612,0.97228,-0.03445,-0.77405,-0.50267,-0.31768,0.38854,-0.808,0.37598,0.57697,-0.99474,-1.06954,0.95705,1.47535,0.32016,-0.37466,0.07605,-0.27762,-0.75853,-0.09797,-0.74918,-0.0351,-0.34749,1.07581,-0.5301,0.14281,0.14119,0.62385,-0.64301,-0.38967,-0.09206,-0.08038,0.17901,0.60687,-1.81963,-0.84334,0.46084,-0.1004,0.3658,-0.38844,-0.02207,-0.37447,0.74349,-0.71344,-0.69306,-0.35406,-0.1043,-0.08286,-0.33215,-0.36844,-0.7715,-0.39372,0.46937,1.03908,-0.95313,0.01713,-0.34383,-0.93259,-0.31496
TCGA-02-0034,0.09567,-0.58249,-0.28168,-0.12437,-0.30756,-0.42393,0.09176,-0.4041,-1.31954,-0.57007,-0.01133,0.26147,3.10609,0.69511,-0.12496,-0.70156,0.86414,-0.34744,1.88468,1.51695,0.00196,0.39936,-1.13846,1.35147,-0.39797,-0.47052,-0.28411,-0.79185,-1.89396,0.1808,0.41244,-0.38939,-4.00E-05,-0.17739,0.27271,0.61623,-0.36178,0.87477,-0.34628,0.14884,0.08337,0.32302,-0.33558,0.08942,0.64981,0.25042,-0.24868,-0.72326,-0.48426,0.01508,0.27111,-0.2117,0.82733,-0.02814,-0.12876,-0.0803,0.28451,-0.25618,0.17598,0.5071,-0.02465,-0.27963,-0.16673,-0.17163,0.35443,-0.6537,-0.14625,-0.36041,0.84121,-0.16584,-0.10272,-1.01571,0.17418,-0.56407,0.36443,-0.55146,-0.29925,0.86346,0.44476,-0.06922,-0.39386,-0.04114,0.02798,0.00527,-0.26362,0.05194,0.10447,-0.13646,-1.12793,-0.1597,1.6041,-0.1037,-0.66878,0.00606,-0.97601,0.34097,0.38,0.08916,0.25005
TCGA-02-0037,-0.0812,0.1141,0.53519,0.03764,0.1967,-0.5786,-0.03807,-0.35876,-1.34682,-0.79792,-0.02866,0.97385,1.53406,-0.28515,0.12807,-0.20542,0.47281,-0.48726,-1.02829,0.26151,0.37883,0.20025,-0.84686,-0.51019,-0.16134,-0.50596,-0.25395,-1.38817,1.08398,1.19903,-0.13994,-0.78661,0.66395,-0.0715,0.47538,0.19217,0.03775,0.69443,0.11177,-0.33695,-0.20681,-0.52819,0.23417,0.4859,0.04909,-0.02941,-0.13222,-0.83466,0.20559,0.33051,0.03033,0.69246,0.201,-0.35243,0.19154,0.01984,0.57906,0.43138,0.11455,1.82241,0.40315,0.34188,0.34576,0.7202,0.19601,-1.3716,-0.16316,0.04036,-0.23489,-0.03422,0.15536,0.62827,-0.78441,0.45644,0.48763,0.1718,0.13715,0.51356,0.76912,0.07031,0.43866,-0.09109,-0.11085,0.12241,0.19958,0.08141,0.09423,-0.44743,0.25677,-0.12317,1.44153,0.51287,-0.33147,0.70592,-0.56881,0.30777,0.01578,-0.92439,0.01669
